text,sentiment
"E docs are getting younger these days.can u guess where am i??yup, NUH!! paying my ear doc a visit. Ouch!!",neutral
Happy Mother`s Day - Happy Motherï¿½s Day  http://tumblr.com/xnx1qyn0j,positive
"hair, grow back!",neutral
Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now,positive
oh yeah the grill is out...its bbq tonight at the house,neutral
"urgh, over slept for work, still done no revision and im SO snappy today. having a total fat day too",negative
Just updated #Tweetie and open in browser is still broken.,negative
" From the champion team in the defunct MBA, Cebu Gems!",neutral
"  I`ve had that before...sometimes, they turn into other things; felt is very forgiving. Remould? Cut up and re-form?",positive
tomorrow should be good. but apparently no movies,positive
" I wasn`t given an exact date, but it shouldn`t be much longer. Please accept our apologies for the inconvenience!",negative
" Oh, that would be riveting TV!   Trips to the break room, coffee, toothpicks in the eyes to keep them open.",positive
 http://twitpic.com/4w483 you guys look so nice,positive
 haha so your having father daugter bonding time? Lol anyways I g2g work get on msn later I`ll be bored  x,neutral
 heyahh i thought u wern`t cumin to london till the 5th ? i love you taylorr ..****,positive
 ima goodgirl I`m not down with takin advantage,positive
im at home....on a friday night.  but it`s all good!,positive
C-News wasn`t as bad as I expected... could have done better... but today we did a great show...,positive
 HAHA I took the quiz on fb and missed the mcfly one,neutral
ugh... hangover. sign that i`m getting old,negative
 Both of you,neutral
" I don`t know, I noticed that happens to me sometimes too.",neutral
Surf`s up this week - starting this afternoon,neutral
" working, my 4-day weekend is over, aah well another one coming in 2 weeks",neutral
 is work next door sucking again,negative
it was a hard weekend. too much alcohol on these **** 'weinfest',negative
happy mothers day to all those special moms out there.... i luv u mommy!!,positive
 Hehe! It is nice down there,positive
Happy Mother`s Day ,positive
Great day. And another one awaits,positive
thinking 53 more days is the only thing that gets me through work. ahhh i dont want to go,negative
"_ritz alrighty, thnx  good night.",positive
 Good Morning  Hows u ?,positive
 did you have an amazing time?,neutral
"Monday, Monday. Mr. Cade is home on the couch & I have lots to do today!",neutral
" Wishing you a very Happy Mother`s Day, Carina!!  Hugs...Joy",positive
Now i`m fully awake,neutral
I`m not sure why walking around in barnes and noble comforts me so much. O well now I`m off to work,positive
"A singing girl. Talented, yeah. Good to complain about? No",positive
 awww  don`t do this to meee haha now you`re gonna make me saddd,neutral
"? Polly Scattergood`s new single out today! Download the Please Don`t Touch EP on iTunes, it`s ace!  http://tr.im/kpK8",positive
I hate watching the News. Why do such awful things happen?,negative
?ï¿½ nh?n ???c bonus r?i. Ch?c ch? ?? bï¿½ vï¿½o kho?n unpaid leave,neutral
is it unny today or not? taking too long to decide haha. i wna get a tan,neutral
 I like that term 'today list' - better than 'to-do list',positive
Chem final right now. Awwh mrs. Oli! Imma miss you!,negative
At work and really slow for a beautiful day and a Friday.,positive
Is responding to an email.,neutral
&not gonna lie. it`s 60 degrees in here. thanks for leavin me your sweater molly. brrrrr,positive
 They don`t let the queer boys donate blood.,negative
I hate thunder and lightning!,negative
Happy Mother`s Day Mama bear,positive
 LMAO!I was JUST thinking how I **** hate @ least 3 people that I`m following...but I haven`t unfollowed em` yet. I`m a loon.,negative
 aww bradie loves perth  I love the ad at the top of his page too lol ****,positive
 I don`t watch - just wish - TV`s been off for months- I love it  Guess I won`t win though LOL,positive
"where is the love by the black eyed peas, so many memories. Watching the hulk!",positive
ii wanna go home for thee weekend  but ii have no gas. sukks (_!_)!!,negative
 piyaaa! hi. :] im hyper & im bored & im online & im going to find pictures for the noteboook.  still cant send messages. grr.,negative
Happy Christmas! No wait... What is it again happy M...........easels day. No but seriously.... Happy Mothers day...  lmao,positive
is so gutted she can`t get tickets for pink!,negative
I want to cry at the thought of the NBA season being almost over  NEXT YEAR MIAMI!!!!!!!!!!!!,negative
 but i went out and bought some nail polish ellen,neutral
 omg  when do they finish??,neutral
" Can`t really do anything about that, now can I?",neutral
  I wanted to beta test but saw the thread after the results were announced,neutral
 that`s meAn,negative
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral
" Hehehe  I didn`t really know that! Well, use your blog or Twitter to suggest interesting topics for ppl to engage in",neutral
The first officially beautiful day of the year and I`m stuck inside the office    A Magners and BBQ will make up for it!,neutral
Bwahah I love the jackass movies!  I have chocolateeee!,positive
FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! <3,positive
 i bet so,neutral
" Don`t worry, you spelt `NO` correctly! It just looks wrong",neutral
has sent Ben off to do the weekly shop  woo! xxxxx,neutral
done with facebook. off to jamlegend,neutral
HAPPY MOTHER`S DAY to all of the wonderful women out there.  Have a great and relaxful day.,positive
congratulations penjiiii !!! Are we calling him soulja boy or mcbaby lol,positive
 I`m thinking the 'Chevrolet Doom' would be fitting for GM,positive
 Will we see you guys in the Philippines?  That would be the coolest thing ever! Always wanted to go to one of your concerts!,positive
just bought 5 bouquets of flowers and put em all together and arranged them all pretty for my momma in the morning!  ::proud of myself::,positive
" No i am not a mom or dad, hmm well I will forward the link to my mom.  I am embarrassed now",negative
" no I want too, but a couple of people said it wasnt good",neutral
 Lol. She`s offering me a case of guiness!  can you one up her? If you buy me two I`ll stay. Let`s start the bidding wars,neutral
going to sleep with my baby,neutral
"I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!",neutral
Man my daddy left to work again  I never see him a lot I miss my daddy :` (,negative
 I`ll give u an icecream ?,neutral
_petty I`m leaving community college with a bang!,positive
"thankies  no pictures in yet...but soon!! M`off to wash up love, have a good satdee ****",positive
Is working all weekend,neutral
Just got finished cleaning and putting out my mom`s presents.  Happy mother`s day. I`m going to sleeeeep.,positive
 hey u know the sub on digg I said I needed help on soon? well it`s up now n wud love it if u could digg it pls  Kaushik,neutral
The Blowout ended,neutral
posted a few pics of my college on my myspace www.myspace.com/katieheidie,neutral
but this little boy still makin me  work during the storm!!!,negative
Morning. Off to school... Ickkk!,neutral
 I have that problem with adult shirts too. It`s so annoying since a lot of adult player shirts don`t come in kid sizes,negative
and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,negative
" Years ago, my brother saw you and Bruce walking on the sidewalk in Sanibel. I used to live on Pine Is. Great place",positive
" demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",positive
Leaving for Atlanta in the morning to catch JoCo and Pa & St!!! I`m excited! Missed P&S at D*Con last year.  That made me a sad owl.,neutral
" yo there ,if you guys want to make a road trip look me up in waraw or u wait  too long  Taipei",neutral
 LoL....heeeyyy love! Not much working   and you,neutral
why on twitter does no one talk 2 me i know your all celebs and i`m nt but it`s nice to be spoken to once in a while,positive
"_ yes i know, gross, haha im better then them all",neutral
 There is good cholesterol. There are no good tumors.,neutral
 i think i`ll be home more than i want to be next week - no work booked in for the forseeable.,positive
#bgt Will Holly take being paraded on stage again for potential rejection?,neutral
i lost my phone.,negative
Nice sunny day,positive
I know I`m already a week behind on FF. Will TRY to get one done today! Called into work 2hrs early due to problems so will be a busy day,negative
what a great day for a massage! book your appointment today  617-262-2220,positive
"_juneau I did, until my parents got all f`d up and I started comfort-eating",negative
  **** right!,positive
i went to go check my phone for messages. then i remembered i dont have a phone anymore,neutral
"Ah, finally at home in my comfy bed. Goodnight",positive
is back from a weekend get away,neutral
 not helping!,negative
My english is broken,negative
Not feeling too good,negative
Had a nice pre mother`s day dinner out. Now a cocktail before retiring for the evening,positive
  don`t remind me.. Was supposed 2 meet up with the Homie  2 4 that show..  Ack! So kill it please..do the **** thang!,neutral
Playing with my puppy,positive
" , Just read an article that buying IP`s doesn`t necessary mean to get developement teams . Does that mean   ?",neutral
 it was amazing,positive
Oh boy this is going to be a loooooong day,negative
 would love a slice of summer from Piper`s lemonade stand! do you think i could have a jump on her trampoline too?,positive
Tired beyond reason. I would rather be just about anything else other then tired,negative
"i lost all my friends, i`m alone and sleepy..i wanna go home",negative
it`s Blockbuster week in New Zealand - 'Wolverine' tomorrow followed by 'Star Trek' on Thursday!,positive
 Good Morning Chairman of the board! www.youtube.com/watch?v=ivFM0pYyUcy its a living thing....!,positive
 I read them a couple of weeks ago  They work really well with the movie.,positive
" BTW, `nathanfillion` is trying to beat his Flight Control score as well, maybe you should follow each other?",neutral
_BHB I went to that concert and I remember Derek and Mark were hosting! I miss seeing BHB  at the grove.,negative
Happy Mother`s Day! I love my mommy,positive
Got a right bad headache,negative
" Sadly, all I have is the Stanley Steemer 800 number.",negative
" I will take lots of pics! it is really pretty there, lots of palm trees.",positive
"_2229 both, at the same time",neutral
"still can`t figure this twitter thing out, i can`t my background pic to stick and i can`t seem to change my profile pic",negative
spending the night with mom and Tommy.. just ordered Pizza Hut.. yum!,positive
"Just figured out why only strong guys are supposed to put heavy things on top shelves, ouch!",negative
"Beers & whiskey = awesomness, work in 8 hours = sourness",neutral
I hate PC,negative
 I like tweet deck and I`ll try the other one u recomended Thanks,positive
gahh!! i`m so tired right now.,negative
 hey!  YAY! thanks!  wow ur page is awesome!!!!!,positive
"my ipod came back to me after visits to cali, china, and alaska...but its at home and im @ work...",neutral
Mouth hurts,negative
  .... It was just alriiightt,neutral
whopee TGIF   that was more fun when i had a job,positive
" great!!  i`ve gpt tp put the lyrics in, finsih the background, then go over some writing, and then done!!",positive
just got home from work.... and is chugging down a big bottle of apple juice.,neutral
checkin twitter out!,neutral
but im not complaining.,neutral
_Kinda_Guy  your kids are growing up around science guys. I grew up around politics.,neutral
Today was not an inspirational photography day  #photography -  http://twurl.nl/jnizbw,negative
attics to eden out today !,neutral
_lord But that means you`ll leave me alone.,neutral
  Looks like the nap will have to wait. I`m still waiting on the poor guy,neutral
 Hi  Im Better... Drinking Hot Tea With honey ^^ ... Thanks... Take Care Plis,positive
Today`s ABA has been full of emotional tears  #ASD #autism some days are harder than others.  Its hard to not intervene  poor baby,negative
" Ahh, your baby is so cute! Happy Mother`s Day!",positive
is very worried about sam  and wants to know he okay!,negative
 i know u r!  i wont be there til the 6pm service..will u be there?,neutral
 good morning fella   i have the joy of work to do today.  what are your plans?,positive
 I see. I guess there must be lots of Hawks fans in Texas on twitter.,neutral
went to the dmv today.....some things never change,negative
4 cases of swine flu!,neutral
What the ****!? It`s only 20:35!!? Oh my GOD! My internal clock really IS **** up. Nooooo.,negative
 you said you **** up your nose!,negative
You can`t even gift money away these days.  re: http://ff.im/3lqUx,neutral
Working   But it`s Fridaaaayyyyy,neutral
 thanks  scared of dentists.. looks like I am going to have to get over it and go,positive
" I am 28 and I still haven`t been to a club. Lots of bars, though. I don`t think I`m missing much",negative
Tummy hurts,negative
is heading off to the fair,neutral
whenever it rains it`s so hard to get motivated,negative
"haircut as short as possible, even change color , new me",neutral
" haha! thanks, Tiff   it went well, but they WORE ME OUT!!! lol. im too old for this ;)",neutral
 and now I have to shut computer down and get ready to go home from work....what a bummer.,negative
wants TFA back.  http://plurk.com/p/x2rgl,neutral
Great dinner and great friends! Follow ! She is my cupcake,positive
"At The Only with  and , but not with .",neutral
Just got done watching Bedtime Stories! Love that movie!,positive
class is almostt over,neutral
Screw you guys and your prom pictures,negative
  If you don`t want to come then don`t come. JEEEEEZ.,negative
Going to the alley tonite..Happy Birthday prima,positive
...I need a huge favor of love. Anticipate texts from me,positive
" Hey, TDukes! I flwd U immediately this morn.when DHmptn mentioned the bit abt the tattoo. LOVE her,she`s my #1Fav. twitterer",positive
 I did for years and then moved over to an IBM compatible.  Would love to have both on my desk!   Can you call me a techie?,positive
 god bless u and I hope the rest of your weekend is joyfull,positive
Wondering if twitter will be fixed for my phone any time soon...,neutral
" thank u, thank u, thank u for everything this weekend!! U guys are AMAZING. I`ll see u again at alpine! Thx for chattin w us 2!",positive
Time for bed!  Hope your saturday was as lovely as mine was...,positive
" I love U2! Lol, I you ever need a slow but good audiobook Oliver Twist is a one I`ve been listening to lately.",positive
`Look at the tadpole`... `No! ... Look at me!!!` ... Foolish dog  http://yfrog.com/05ixbj,negative
My stomach is killing me do I can`t sleep,negative
 it`s my evening.,neutral
At the movies. . . About to watch Star Trek!,neutral
 http://twitpic.com/67w20 - Jordan baby was talking to me!!!! I wish I coulda met you!! ugh,positive
never mind it`s closed  sorry Miley,negative
I fell for Austin Taura Hanafiah even morreee! Shoott!!!  A guy shouldn`t look that yumm! Hahaha...,positive
" yep and its freezing, i hate winter  im literally wearing blackets",negative
 i keep thinking about FOOD! i made myself some tea,neutral
off to my cousins confirmation + confirmation party,positive
_Thrifty eBay 10 mile rule not working for me.  Too many pairs of leather trousers being sold in Aberdeen. Will try next week.,neutral
man u know things get very interesting sometimes lolll....im just 2 **** good,positive
Stupid idiot who ran a stop sing and almost killed me and my car!,negative
Sunburned from Venice and watching Fred Claus....Such excitement!!,positive
i have the song here comes goodbye stuck in my head not a good song to be singing considering my situation,negative
"Do fish feel pain? Yes, says a new study.  http://is.gd/Jbcg",neutral
i am so stressed and sad about pugsly missing. i hope hes okay. i am stuck at otrip and cant look for him  someone post his pic on FB 4 me,negative
Doh. In a rush to get to the Puma Open and I just got pulled over. So sad.,negative
" don`t i know it, writing an exam essay this weekend myself",neutral
_TRUESDALE lmao! you a mess.  Im gonna be in ATL in a few weeks,negative
 word?? ima be there this summer....just move back with me  lol,neutral
 *sigh* me miss them days !!,negative
 Do you think the bead crumb navigation will return to the new Fusion studios? I really miss that at the top of each item.,negative
Missy higgins kate voegele grace potter and the nocturnals,neutral
 just hanging with my bestie,positive
 i dedicated that song to my VW when i sold it,neutral
 just one of those days where loneliness creeps up on you slaps you in the face.,negative
"Grew fat today  GSS was so hxc I saw a full house Chanel, JC, Pedder Red and Ferragamo! How great is the economic downturn.",positive
my cheeeks hurt so bad. what happened!?,negative
" Actually SoS won`t be here, VI will be accompanied by Gliss and Make Me. The day after Brandi Carlile, busy month gigwise",neutral
 Happy Birthday Mel. We miss you in the UK,neutral
  hmm.. idk that song.,neutral
" Check and check!   And yes, I did (and am)!",neutral
 lucky girl!!! I work all day tomorrow! and maybe even Monday!!,positive
" good luck! It`s not too bad, and if it is, it`s curved grading so u might end up surprised",neutral
" Here are some that other tweeple recommend to me: www.audiomicro.com , http://tr.im/gWOy , http://tr.im/gWPx",neutral
" Hey David, I`m wondering if you received a letter that has a song in it? From Malaysia? please reply  and have a nice day!",positive
 yeah the weather ruined my plans too  i was gonna beach it up as well,negative
i miss the one who would do anything to spend 5 min with me... the one who used to say just tell me when and where,negative
_1993 Nope not yet  Within 10 working days from Thursday. It should be in before 2 weeks Wednesday. It`ll be in before that! I hope,positive
Finished my Lunch,neutral
 yeah I imagine you did,neutral
watching americas next top model yah haha,positive
" Lmao dimples naww thats cute , ok ill try to remember first of winter is dimple day",positive
16 days until I start moving!,neutral
" um that`s really scary, please be safe!  Btw ill be in orlando next week",negative
toy story 3! june 2010. i can`t wait that long.,neutral
" ate ****, I refuse to bless her cuz she already clingy",negative
 haha! nice! Have fun doll! Hopefully I`ll see ya soon! I miss ur face!,positive
my tummy kinda hurts!,negative
I have coffee and a Sociology paper to complete. Happy Mothers Day,positive
#flylady Oh deary me: 15 mins not enough to rescue kitchen  I shall come back to it later so I can mow the lawn while still cool outside,neutral
"And, I`m accumulating money again, so I can use a fancy finance app. Thinking of getting another CD or an IRA.  saving for a house. crazy!",positive
"  Yes,  and I hope the show I promoted was clean.....   lol      Bella",positive
My lovely husband made me breakfast in bed this morning. Who says chivalry is dead?,positive
"Well poop, my guitar lesson was canceled today  I`m so sad. I hope his son feels better soon tho.",neutral
  My class will be at Chem Sc building. Will see the both of you after 5 yeah?,neutral
 it was apparently a request by the guests,neutral
" we got Watts, Chingo Bling, The Chile.. can`t do this thang without BGeezy, we need u on the show!   http://bit.ly/12R3c3",positive
 thanks kelly! that means a lot.  have you figured out your apt thing yet?,positive
Feeling sick at stomach today,negative
I just want this semester to be over! Only a week and a half then it`s moving time!,negative
I`m loving the humidity right now...great for the skin....another love that won`t last,positive
_ that`s why twitter rocks!,neutral
ARGH!! watching batman,neutral
Im am going to send some twits to some folk...............,neutral
Good Monday morning to everyone- Hope everyone`s week is off to a successful start,positive
Finally eating unagi I`ve been saving up for a while! +udon :] AGH I just realized the band playing at Bear Garden today is one I like!,positive
I wish I could go to the Love Music Hate Racism gig this weekend   I`m not in the right part of the world even,negative
 no they didn`t!,neutral
God i`m so sleepy today I can barely focus,negative
hey im back on.. but msn won`t work  darn msn haha. can`t stop thinking about 3d movie haha!,neutral
Trying to figure out how to use Twitter.......I`m old,neutral
in 1st period. i hate this class. can`t wait until i`m home!!!!!!!!!  i`ll b the happiest person in the world wen i`m home!!!,neutral
Boognish wishes Clemmie would be nice to me  http://apps.facebook.com/catbook/profile/view/6831309,positive
 Have fun amorsote even tho u forgot my bday which is today,neutral
#justcause Summer Hours say our day ends at 1pm...doesn`t mean I really get to leave at 1.,negative
" Im Duong in VietNam. Where r u from? I`m 19. I dont understand what you wrote down in twitter, please tell me! Thanks!",neutral
 aww bless  you guys are so cute.. are you still in touch with any of the other BB contestants? xxoo,positive
" I know, but I`m on Rogers and I`m pretty sure they don`t have the same agreement with Twitter.",neutral
 anytime. I aim to please.,positive
Is really sad that shes missing critical mass,negative
